0.33,0.033,"{0.20855213068410644, 0.14199417801740555}"
0.33,0.03142857142857143,"{0.21557650988000512, 0.14352059416065105}"
0.33,0.030000000000000002,"{0.22266804792689215, 0.14487143325309912}"
0.33,0.028695652173913046,"{0.22982394077473034, 0.14603417477807001}"
0.33,0.0275,"{0.2370543281069336, 0.147068000880711}"
0.33,0.026400000000000003,"{0.24435606560763556, 0.1479922949158856}"
0.33,0.025384615384615387,"{0.2517064402451951, 0.14879663911699528}"
0.33,0.024444444444444446,"{0.25913717428712874, 0.1495474851373666}"
0.33,0.02357142857142857,"{0.26661535189929797, 0.15018043065716127}"
0.33,0.022758620689655173,"{0.2741489322399674, 0.15079640934959113}"
0.33,0.022000000000000002,"{0.2817256007279387, 0.15130657918858345}"
0.33,0.02129032258064516,"{0.289352612531299, 0.15181335547528862}"
0.33,0.020625,"{0.29701617156321114, 0.15223508519894316}"
0.33,0.02,"{0.3047263760925282, 0.15266502711865956}"
0.33,0.019411764705882354,"{0.31246958588530666, 0.15302319214929677}"
0.33,0.018857142857142857,"{0.32026088671040415, 0.15337808483246648}"
0.33,0.018333333333333333,"{0.3280867809780904, 0.15366304497976585}"
0.33,0.01783783783783784,"{0.33592597798138035, 0.1539581076055658}"
0.33,0.017368421052631578,"{0.34378330277398067, 0.1541896006264198}"
0.33,0.016923076923076923,"{0.3516710015285945, 0.15447370088970172}"
0.33,0.0165,"{0.35961109313412437, 0.15468113329128114}"
0.332,0.0332,"{0.2064173280376258, 0.1450083759739568}"
0.332,0.031619047619047616,"{0.2131027472011764, 0.14659673789672115}"
0.332,0.030181818181818185,"{0.21987229195356783, 0.14800541752319332}"
0.332,0.028869565217391306,"{0.22670955677697638, 0.1492354345972408}"
0.332,0.027666666666666666,"{0.2336250809245333, 0.15032082883581385}"
0.332,0.02656,"{0.2406180154019912, 0.1512656766032455}"
0.332,0.02553846153846154,"{0.2476652784633205, 0.15213617232255963}"
0.332,0.024592592592592593,"{0.2547715798272797, 0.15290870185181532}"
0.332,0.023714285714285716,"{0.26195753411438777, 0.15358454347253517}"
0.332,0.02289655172413793,"{0.2691837324517135, 0.1542012513992319}"
0.332,0.022133333333333335,"{0.27647336798734257, 0.15474760426883724}"
0.332,0.02141935483870968,"{0.2837990268257486, 0.1552576505395347}"
0.332,0.02075,"{0.2911821690059885, 0.15570069776848952}"
0.332,0.020121212121212123,"{0.29859951733839174, 0.15613750258010636}"
0.332,0.019529411764705882,"{0.30606766020278864, 0.15650102507259187}"
