   1.0000000000000000e-02	   1.0189617231914011e+02	   3.4225329663656394e+00	   3.6868987021788119e-01	   1.5776585329163626e+00	   2.9877301991579959e+00	
   1.0186289902446875e-02	   1.0006371387496991e+02	   3.4128830589918606e+00	   3.6640869794557984e-01	   1.5773116550000510e+00	   2.9784477393047117e+00	
   1.0376050197669118e-02	   9.8264702615516754e+01	   3.4032361678932048e+00	   3.6413009250233036e-01	   1.5769604844608966e+00	   2.9691733602058976e+00	
   1.0569345535579883e-02	   9.6498526884038952e+01	   3.3935923380401078e+00	   3.6185408742025815e-01	   1.5766049793360009e+00	   2.9599071692695023e+00	
   1.0766241770454934e-02	   9.4764586205943715e+01	   3.3839516150308002e+00	   3.5958071660030183e-01	   1.5762450975177955e+00	   2.9506492751403259e+00	
   1.0966805983368685e-02	   9.3062291093191249e+01	   3.3743140450990223e+00	   3.5731001431479620e-01	   1.5758807967490163e+00	   2.9413997877098459e+00	
   1.1171106505048243e-02	   9.1391062839088889e+01	   3.3646796751218577e+00	   3.5504201520981465e-01	   1.5755120346412061e+00	   2.9321588181263354e+00	
   1.1379212939153151e-02	   8.9750333316662761e+01	   3.3550485526276224e+00	   3.5277675430755284e-01	   1.5751387686697202e+00	   2.9229264788048086e+00	
   1.1591196185988858e-02	   8.8139544793789270e+01	   3.3454207258039075e+00	   3.5051426700882493e-01	   1.5747609561935358e+00	   2.9137028834369549e+00	
   1.1807128466661904e-02	   8.6558149737490083e+01	   3.3357962435055026e+00	   3.4825458909518592e-01	   1.5743785544497575e+00	   2.9044881470011648e+00	
   1.2027083347685121e-02	   8.5005610630399900e+01	   3.3261751552625958e+00	   3.4599775673143124e-01	   1.5739915205745771e+00	   2.8952823857722625e+00	
   1.2251135766041190e-02	   8.3481399781337274e+01	   3.3165575112889227e+00	   3.4374380646775632e-01	   1.5735998115995100e+00	   2.8860857173315644e+00	
   1.2479362054713113e-02	   8.1984999154754348e+01	   3.3069433624900100e+00	   3.4149277524203631e-01	   1.5732033844650313e+00	   2.8768982605764890e+00	
